country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","12-04-2026 12:00:00",25.892357,86.590325,OZONE,14,15,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","12-04-2026 12:00:00",25.859655,85.77944,PM10,22,137,93
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","12-04-2026 12:00:00",25.859655,85.77944,CO,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","12-04-2026 12:00:00",24.952822,84.002396,NO2,1,7,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","12-04-2026 12:00:00",24.952822,84.002396,NH3,1,6,3
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2026 12:00:00",21.258815,81.578979,NH3,3,4,3
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","12-04-2026 12:00:00",21.219665,81.630094,NO2,10,55,29
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-04-2026 12:00:00",25.596727,85.085624,PM2.5,33,92,61
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-04-2026 12:00:00",25.596727,85.085624,PM10,68,228,161
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","12-04-2026 12:00:00",21.258815,81.578979,PM10,30,198,98
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","12-04-2026 12:00:00",25.366336,87.117468,NO2,5,6,6
India,Bihar,Patna,"Samanpura, Patna - BSPCB","12-04-2026 12:00:00",25.596727,85.085624,SO2,4,6,5
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","12-04-2026 12:00:00",25.03280,85.41948,NH3,3,3,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","12-04-2026 12:00:00",21.371751,81.664929,OZONE,3,67,18
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","12-04-2026 12:00:00",22.06631475,83.33820077,SO2,5,29,7
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","12-04-2026 12:00:00",22.06631475,83.33820077,OZONE,6,94,37
India,Delhi,Delhi,"Alipur, Delhi - DPCC","12-04-2026 12:00:00",28.815329,77.153010,PM10,96,405,185
India,Delhi,Delhi,"Alipur, Delhi - DPCC","12-04-2026 12:00:00",28.815329,77.153010,NO2,13,85,34
India,Delhi,Delhi,"Alipur, Delhi - DPCC","12-04-2026 12:00:00",28.815329,77.153010,CO,4,101,10
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","12-04-2026 12:00:00",28.647622,77.3158090,NH3,5,8,6
